City,Income
"Austin, TX",75752
"Boston, MA",76298
"Charlotte, NC",65359
"Chicago, IL",62097
"Columbus, OH",54902
"Denver, CO",72661
"El Paso, TX",48866
"Fort Worth, TX",64567
"Houston, TX",53600
"Indianapolis, IN",50813
"Jacksonville, FL",55531
"Las Vegas, NV",58377
"Los Angeles, CA",65290
"New York, NY",69407
"Oklahoma City, OK",56456
"Philadelphia, PA",49127
"Phoenix, AZ",60914
"San Antonio, TX",53420
"San Diego, CA",83454
"San Francisco, CA",119136
"San Jose, CA",117324
"Seattle, WA",97185
