city,state_id,	lat,lng
"Austin, TX",TX	,30.3005,-97.7522
"Boston, MA",MA	,42.3188,-71.0852
"Houston, TX",TX	,29.7860,-95.3885
"New York, NY",NY	,40.6943,-73.9249
"San Diego, CA",CA	,32.8313,-117.1222
"Seattle, WA",WA	,47.6211,-122.3244
